"","Dist","Prop","PMean","PMedian","Pdiff","GMean","GMedian","Gdiff","n"
"3832","Cayley",0.0466666666666667,0.0372333412993051,0.0835457293079529,-0.0463123880086478,0.02118310227927,0.0660981151956707,-0.0449150129164007,300
"3833","Cayley",0.0833333333333333,0.0635716033952848,0.069816867078423,-0.0062452636831382,0.0605077185432387,0.0636389335372519,-0.00313121499401321,300
"3834","Cayley",0.0466666666666667,0.124478569663713,0.162694985712966,-0.038216416049253,0.121063347101029,0.144460471729724,-0.023397124628695,300
"3835","Cayley",0.0566666666666667,0.0596728839846712,0.0346240200610289,0.0250488639236423,0.0756275261622699,0.0485930830397101,0.0270344431225598,300
"3836","Cayley",0.0533333333333333,0.0350543322838733,0.0722882895755222,-0.0372339572916489,0.0198671520999183,0.0419263946155995,-0.0220592425156812,300
"3837","Cayley",0.06,0.0580267044753271,0.0836021806967286,-0.0255754762214015,0.0288238683205658,0.056525641832443,-0.0277017735118772,300
"3838","Cayley",0.0533333333333333,0.0927250268775632,0.0924281666632901,0.000296860214273109,0.106370275474727,0.0989890636536886,0.00738121182103839,300
"3839","Cayley",0.0466666666666667,0.210872753132565,0.268407238204957,-0.057534485072392,0.185984158736444,0.234665162970851,-0.048681004234407,300
"3840","Cayley",0.0366666666666667,0.0901123473368556,0.120929422140768,-0.0308170748039124,0.0761841929169747,0.102041970212889,-0.0258577772959143,300
"3841","Cayley",0.0533333333333333,0.0848149950126272,0.113843336131011,-0.0290283411183838,0.0615999563421005,0.0925484929509207,-0.0309485366088202,300
"3842","Cayley",0.0666666666666667,0.123110534592567,0.145836768220806,-0.022726233628239,0.121241120974754,0.135489074194858,-0.014247953220104,300
"3843","Cayley",0.0466666666666667,0.112162529795242,0.165081687052513,-0.052919157257271,0.0937122102779544,0.137807968323696,-0.0440957580457416,300
"3844","Cayley",0.0533333333333333,0.0736573937794369,0.0698824691534666,0.0037749246259703,0.0697875389985012,0.0679620788960268,0.00182546010247439,300
"3845","Cayley",0.0633333333333333,0.0481717771216676,0.0674052736897192,-0.0192334965680516,0.0450821583703003,0.0591015510032084,-0.0140193926329081,300
"3846","Cayley",0.0733333333333333,0.0732799797942975,0.0910444333380437,-0.0177644535437462,0.0672424353503354,0.0787649208486629,-0.0115224854983275,300
"3847","Cayley",0.07,0.113799635049308,0.149248712173736,-0.035449077124428,0.076603416215486,0.115842180901443,-0.039238764685957,300
"3848","Cayley",0.0533333333333333,0.0945884830049705,0.121299679452373,-0.0267111964474025,0.0995763015275722,0.109321145722376,-0.0097448441948038,300
"3849","Cayley",0.0866666666666667,0.106076473295749,0.130905831511012,-0.024829358215263,0.0909421959513287,0.107775894381338,-0.0168336984300093,300
"3850","Cayley",0.0433333333333333,0.121613514918323,0.156691907734206,-0.035078392815883,0.118371909534488,0.138139344811515,-0.019767435277027,300
"3851","Cayley",0.06,0.0487305354482337,0.0353439260719969,0.0133866093762368,0.0657818585133945,0.0449042315710738,0.0208776269423207,300
"3852","Cayley",0.05,0.0617643382591949,0.0714030338447084,-0.00963869558551351,0.0594889466091498,0.0616766318790167,-0.0021876852698669,300
"3853","Cayley",0.0533333333333333,0.0846266430123669,0.0693903887192352,0.0152362542931317,0.0764412446402274,0.0696752498262742,0.00676599481395321,300
"3854","Cayley",0.0533333333333333,0.105022585119564,0.120575957952053,-0.015553372832489,0.096839947348583,0.110481347683145,-0.013641400334562,300
"3855","Cayley",0.0666666666666667,0.151430843055259,0.144616549681553,0.00681429337370601,0.163939940731328,0.151747995992199,0.012191944739129,300
"3856","Cayley",0.0466666666666667,0.107215106039622,0.116930600561489,-0.009715494521867,0.109363054248682,0.102399485207113,0.006963569041569,300
"3857","Cayley",0.0433333333333333,0.0767383032059356,0.0939936741302313,-0.0172553709242957,0.0626331282668777,0.0736660441323829,-0.0110329158655052,300
"3858","Cayley",0.0433333333333333,0.0759554763436827,0.0882169509208421,-0.0122614745771594,0.0589886728107404,0.070800577947422,-0.0118119051366816,300
"3859","Cayley",0.0733333333333333,0.0914482372592689,0.128346916774924,-0.0368986795156551,0.0754332752857998,0.105030453707491,-0.0295971784216912,300
"3860","Cayley",0.08,0.130072309781001,0.131344525434383,-0.00127221565338198,0.120606935242308,0.125182409573486,-0.004575474331178,300
"3861","Cayley",0.06,0.107920122516262,0.124029680868838,-0.016109558352576,0.0916477317277265,0.105693656190493,-0.0140459244627665,300
"3862","Cayley",0.04,0.0693886758969267,0.089249171162849,-0.0198604952659223,0.0681193850877559,0.0777343906073903,-0.0096150055196344,300
"3863","Cayley",0.0533333333333333,0.136932081563921,0.148574016364696,-0.011641934800775,0.0958775873530021,0.121258481227932,-0.0253808938749299,300
"3864","Cayley",0.0766666666666667,0.0549898478719382,0.0719789462850002,-0.016989098413062,0.0547188695381496,0.0498688390439916,0.004850030494158,300
"3865","Cayley",0.02,0.0741520419164518,0.102191751464413,-0.0280397095479612,0.0604438050877717,0.0746802344237378,-0.0142364293359661,300
"3866","Cayley",0.05,0.0421873938606942,0.0512206514515137,-0.0090332575908195,0.0618110268011936,0.049253201951933,0.0125578248492606,300
"3867","Cayley",0.0666666666666667,0.164177380932615,0.161235016088708,0.002942364843907,0.154862988644888,0.157010218170252,-0.002147229525364,300
"3868","Cayley",0.0566666666666667,0.259425326400652,0.29962251753165,-0.040197191130998,0.213037297316055,0.261594306534156,-0.048557009218101,300
"3869","Cayley",0.0633333333333333,0.0821327368243095,0.0797381931593343,0.0023945436649752,0.0806302180015856,0.0793612385667291,0.0012689794348565,300
"3870","Cayley",0.0733333333333333,0.0846596291918642,0.115576620137657,-0.0309169909457928,0.0928121936255796,0.109298895408583,-0.0164867017830034,300
"3871","Cayley",0.0466666666666667,0.0832383875922127,0.0932780329265412,-0.0100396453343285,0.0661818586917449,0.0812731649154539,-0.015091306223709,300
"3872","Cayley",0.0666666666666667,0.114991313739759,0.145974666996843,-0.030983353257084,0.0853451359278877,0.119863003779399,-0.0345178678515113,300
"3873","Cayley",0.0733333333333333,0.0601852826722574,0.0920990250724024,-0.031913742400145,0.047555741756024,0.0695692058475113,-0.0220134640914873,300
"3874","Cayley",0.0533333333333333,0.0643494155356067,0.0785018589990022,-0.0141524434633955,0.0661001104369004,0.0715865346783122,-0.00548642424141181,300
